order_id,order_date,product_name,farmer_location,buyer_location,weather_condition,packaging_type,is_organic,farmer_experience_years,unit_price,quantity,discount_applied,total_price,payment_method,shipping_distance_km,delivery_days,order_status,has_complaint,complaint_escalated
1,2024-04-12,Mango,Lianga,Placer,Sunny,Standard,0,18,154.84,51,0.0,7896.84,COD,158.77,2,Approved,0,0
2,2025-07-14,Eggplant,Libjo,Madrid,Sunny,Bulk Sacks,0,4,69.84,464,0.0,32405.76,COD,142.61,5,Cancelled,0,0
3,2026-02-14,Cacao,Bayugan City,Mainit,Typhoon,Standard,0,6,449.1,50,0.0,22455.0,Online,102.57,2,Approved,0,0
4,2026-01-18,Corn,Mati City,General Santos City,Rainy,Standard,0,8,32.82,52,0.0,1706.64,COD,184.51,1,Approved,0,0
5,2025-05-04,Garlic,Cagdianao,Madrid,Sunny,Standard,0,13,120.82,62,0.0,7490.84,Bank Transfer,99.73,3,Approved,0,0
6,2026-05-20,Eggplant,Iloilo,Placer,Sunny,Standard,0,7,72.04,40,554.75,2326.85,E-Wallet,409.92,2,Approved,0,0
7,2024-01-28,Pineapple,Davao City,General Luna,Cloudy,Premium Vacuum,0,13,107.13,55,0.0,5892.15,Online,361.92,1,Approved,0,0
8,2025-11-14,Cabbage,Placer,Koronadal City,Sunny,Standard,0,2,74.15,47,0.0,3485.05,Online,444.32,5,Approved,0,0
9,2025-12-10,Garlic,Pampanga,Zamboanga City,Rainy,Standard,0,12,147.52,54,0.0,7966.08,COD,1026.43,7,Approved,1,0
10,2024-05-26,Mango,Buenavista,Nueva Ecija,Sunny,Bulk Sacks,0,4,131.38,487,0.0,63982.06,Online,1090.39,9,Cancelled,0,0
11,2024-02-06,Eggplant,Zamboanga City,Iloilo,Cloudy,Premium Vacuum,0,3,52.0,55,1150.76,1709.24,COD,552.24,2,Approved,0,0
12,2025-02-01,Banana,Cagayan de Oro City,General Luna,Rainy,Standard,0,4,50.18,54,0.0,2709.72,COD,294.45,3,Approved,0,0
13,2026-04-08,Tomato,Pampanga,Bayugan City,Sunny,Premium Vacuum,0,8,84.34,36,0.0,3036.24,COD,1070.85,3,Cancelled,0,0
14,2025-07-19,Potato,Batangas,Basilisa,Sunny,Standard,0,16,108.15,46,0.0,4974.9,COD,692.39,3,Approved,0,0
15,2024-02-05,Coconut,General Luna,Manila,Sunny,Premium Vacuum,0,5,38.69,47,226.8,1591.63,COD,917.02,8,Approved,0,0
16,2025-07-25,Pineapple,Davao City,Ilocos,Sunny,Standard,0,7,86.1,59,0.0,5079.9,COD,1688.89,6,Cancelled,0,0
17,2025-09-25,Rice,Mati City,Carmen,Sunny,Bulk Sacks,0,7,57.59,478,0.0,27528.02,COD,289.0,7,Cancelled,0,0
18,2024-02-16,Rice,Butuan City,Digos City,Sunny,Eco-Friendly,0,14,42.07,54,0.0,2271.78,Online,279.87,3,Approved,0,0
19,2024-06-08,Eggplant,General Luna,Bislig City,Sunny,Premium Vacuum,1,20,94.76,32,0.0,3032.32,COD,225.1,4,Cancelled,0,0
20,2024-03-30,Cabbage,Lianga,Cantilan,Sunny,Standard,0,16,61.23,54,0.0,3306.42,Online,84.66,1,Approved,0,0
21,2024-04-05,Cabbage,Tandag City,Buenavista,Typhoon,Eco-Friendly,0,14,90.89,39,0.0,3544.71,COD,103.06,3,Approved,0,0
22,2025-12-18,Cacao,Maramag,Del Carmen,Sunny,Eco-Friendly,0,7,362.06,53,0.0,19189.18,COD,288.71,3,Approved,0,0
23,2025-02-25,Tomato,Cebu,Cagayan de Oro City,Rainy,Standard,0,7,76.11,46,0.0,3501.06,COD,269.75,1,Approved,0,0
24,2025-03-31,Coconut,Cagdianao,San Jose,Drought,Standard,0,18,45.3,34,183.7,1356.5,Online,12.3,1,Approved,0,0
25,2024-01-12,Potato,Buenavista,Claver,Rainy,Standard,0,13,78.8,54,105.45,4149.75,E-Wallet,90.25,3,Approved,1,0
26,2024-03-05,Corn,Buenavista,Mati City,Sunny,Bulk Sacks,1,3,37.0,503,1043.26,17567.74,E-Wallet,297.15,3,Approved,0,0
27,2024-02-20,Coconut,Surigao City,Pampanga,Rainy,Standard,0,3,36.47,53,0.0,1932.91,Online,995.59,7,Approved,0,0
28,2024-10-29,Garlic,Placer,Prosperidad,Sunny,Standard,0,13,130.21,49,0.0,6380.29,Online,164.05,4,Approved,0,0
29,2025-07-16,Rice,Ilocos,Lianga,Sunny,Bulk Sacks,0,7,49.05,465,0.0,22808.25,COD,1205.06,10,Cancelled,0,0
30,2025-11-26,Carrot,Batangas,Buenavista,Sunny,Standard,0,6,73.95,40,0.0,2958.0,COD,1001.02,5,Cancelled,0,0
31,2024-03-13,Potato,Pagadian City,Mati City,Cloudy,Bulk Sacks,0,9,76.23,516,0.0,39334.68,COD,363.25,4,Cancelled,0,0
32,2024-12-30,Potato,Mainit,Dipolog City,Cloudy,Eco-Friendly,0,4,72.75,44,0.0,3201.0,Online,323.21,1,Approved,0,0
33,2025-06-20,Rice,Surigao City,General Luna,Rainy,Standard,0,6,53.04,50,0.0,2652.0,E-Wallet,71.05,3,Approved,0,0
34,2026-01-10,Carrot,Nasipit,General Santos City,Sunny,Standard,0,5,67.08,44,341.23,2610.29,Online,362.82,4,Approved,0,0
35,2025-03-10,Coconut,Davao City,Ilocos,Sunny,Standard,0,4,30.1,58,0.0,1745.8,Online,1461.97,13,Cancelled,0,0
36,2025-10-11,Pineapple,Baguio,Surigao City,Sunny,Standard,0,9,85.48,43,990.87,2684.77,Bank Transfer,1036.88,4,Rejected,0,0
37,2024-08-16,Coffee Beans,Butuan City,Bayugan City,Rainy,Standard,0,6,296.83,53,0.0,15731.99,COD,42.69,1,Approved,0,0
38,2024-08-12,Cacao,Zamboanga City,Baguio,Rainy,Standard,1,8,298.46,57,0.0,17012.22,E-Wallet,1376.19,8,Approved,0,0
39,2025-02-14,Garlic,Nasipit,Pampanga,Cloudy,Standard,1,10,205.59,30,534.65,5633.05,COD,1137.69,11,Cancelled,0,0
40,2025-07-03,Onion,Cebu,Tandag City,Sunny,Standard,0,7,120.67,60,0.0,7240.2,Online,363.61,4,Approved,0,0
41,2025-12-26,Eggplant,Tandag City,Manila,Sunny,Standard,0,10,50.09,67,0.0,3356.03,Bank Transfer,1214.63,3,Approved,0,0
42,2024-06-27,Onion,Bislig City,Hinatuan,Cloudy,Standard,0,7,118.44,56,0.0,6632.64,Bank Transfer,15.65,1,Approved,0,0
43,2024-10-11,Rice,Tagum City,Lianga,Sunny,Eco-Friendly,0,3,53.6,49,0.0,2626.4,E-Wallet,198.33,1,Approved,0,0
44,2026-05-27,Corn,Nasipit,Tandag City,Rainy,Standard,0,14,37.85,53,0.0,2006.05,Bank Transfer,110.25,2,Approved,0,0
45,2026-03-24,Eggplant,Claver,Pampanga,Sunny,Eco-Friendly,0,4,62.29,60,0.0,3737.4,E-Wallet,843.23,9,Approved,0,0
46,2026-03-15,Onion,Butuan City,Iloilo,Cloudy,Eco-Friendly,0,5,166.49,54,0.0,8990.46,COD,391.2,3,Approved,0,0
47,2026-01-27,Onion,Loreto,Digos City,Sunny,Standard,0,9,178.55,41,0.0,7320.55,E-Wallet,484.81,2,Approved,0,0
48,2026-04-04,Cacao,Bicol,Barobo,Rainy,Standard,1,18,450.97,24,237.63,10585.65,COD,841.73,7,Rejected,0,0
49,2024-08-14,Onion,Carmen,Zamboanga City,Rainy,Standard,0,8,124.68,54,0.0,6732.72,Bank Transfer,527.39,4,Cancelled,0,0
50,2024-08-04,Coconut,Loreto,Basilisa,Cloudy,Eco-Friendly,0,6,40.56,48,0.0,1946.88,E-Wallet,35.13,2,Approved,0,0
51,2025-01-08,Onion,Cebu,Hinatuan,Rainy,Standard,0,12,168.47,43,3783.52,3460.69,Bank Transfer,422.6,1,Cancelled,0,0
52,2025-09-06,Rice,Mainit,Cabadbaran City,Sunny,Premium Vacuum,0,1,63.37,50,0.0,3168.5,Bank Transfer,58.89,1,Approved,0,0
53,2025-03-25,Garlic,Bayugan City,Libjo,Cloudy,Standard,0,3,150.54,41,0.0,6172.14,COD,196.13,1,Approved,1,0
54,2025-01-10,Coffee Beans,Malaybalay City,Pampanga,Sunny,Bulk Sacks,0,18,387.83,458,20559.74,157066.4,Bank Transfer,1146.25,8,Cancelled,0,0
55,2024-11-05,Banana,Valencia City,Tagum City,Drought,Premium Vacuum,1,7,127.54,30,0.0,3826.2,Online,108.29,1,Approved,0,0
