order_id,order_date,product_name,farmer_location,buyer_location,unit_price,quantity,total_price,payment_method,delivery_days,order_status,has_complaint,complaint_escalated
1,2025-10-16,Carrot,Surigao del Norte,Cagayan de Oro,82.13,29,2381.77,COD,14,Approved,0,0
2,2025-07-17,Banana,Zamboanga,General Santos,64.27,61,3920.47,COD,11,Approved,1,0
3,2026-02-03,Banana,Davao,Pampanga,62.99,88,5543.12,Bank Transfer,7,Approved,0,0
4,2025-09-19,Carrot,Pampanga,Baguio,87.35,88,7686.8,COD,12,Approved,0,0
5,2026-03-09,Corn,Pampanga,Iloilo,43.28,47,2034.16,Online,11,Approved,1,0
6,2026-02-05,Carrot,Davao,Cebu,85.55,95,8127.25,Online,13,Approved,0,0
7,2026-04-26,Mango,Surigao del Norte,Davao,102.62,199,20421.38,COD,3,Approved,0,0
8,2025-02-18,Corn,Zamboanga,Zamboanga,43.43,56,2432.08,COD,3,Approved,0,0
9,2025-10-15,Garlic,Zamboanga,Dinagat Islands,122.97,16,1967.52,COD,5,Approved,0,0
10,2025-01-08,Cabbage,Dinagat Islands,Zamboanga,74.86,89,6662.54,COD,13,Approved,0,0
11,2025-10-21,Mango,Pampanga,Surigao del Sur,189.09,6,1134.54,COD,12,Approved,0,0
12,2025-11-10,Onion,Cagayan de Oro,Cebu,143.92,57,8203.44,COD,5,Approved,0,0
13,2025-07-31,Garlic,Cagayan de Oro,Surigao del Sur,126.14,33,4162.62,COD,14,Approved,1,0
14,2026-03-27,Banana,Baguio,Iloilo,60.18,27,1624.86,COD,10,Approved,0,0
15,2026-02-07,Garlic,Surigao del Sur,Iloilo,119.6,29,3468.4,COD,6,Rejected,0,0
16,2025-02-28,Rice,Surigao del Sur,Manila,45.39,56,2541.84,COD,8,Approved,1,0
17,2025-12-28,Cabbage,Manila,Iloilo,67.84,75,5088.0,COD,12,Approved,0,0
18,2025-07-29,Carrot,Baguio,Iloilo,55.36,34,1882.24,Online,7,Approved,0,0
19,2025-10-11,Banana,Iloilo,Baguio,57.43,30,1722.9,Bank Transfer,6,Approved,0,0
